id,x_gis,y_gis,x_nlogo,y_nlogo
292,163452.9721463498,5398306.814846703,-68.38575292957977,30.542474791859945
293,163404.09942347172,5398270.912714728,-79.77864750528693,23.153957788815035
294,163402.97330498399,5398270.116820438,-80.04116099860182,22.99016588640646
295,163638.504875236,5398406.982680697,-25.135557399938577,51.15661952135676
296,163637.15489892784,5398406.717484531,-25.45025518743057,51.10204319750437
297,163632.32664349696,5398405.768995971,-26.57578701519148,50.9068479969925
298,163630.97992989622,5398405.475843968,-26.88972422133314,50.846518472154656
299,163588.06601395732,5398420.809479967,-36.89354007874325,54.00212021681273
300,163586.85093087508,5398421.448062459,-37.176792425684646,54.13353797231372
301,163567.87265832743,5398404.570674496,-41.60088516354574,50.66023816880249
302,163566.731380235,5398403.798584218,-41.866932566327954,50.501345038216016
303,164103.54204802655,5398282.834311819,83.27091499169376,25.607375398361356
304,164102.71518905295,5398283.935537432,83.0781629500558,25.83400328152237
305,163875.65991842284,5398432.055291942,30.148499759403165,56.31646391799009
306,163874.32321753824,5398431.730063365,29.836896653199204,56.24953316088971
307,163833.31398412495,5398423.175401025,20.277088126188403,54.48901742899858
308,163834.6803693059,5398423.055589798,20.59561104448548,54.464360751437
309,163864.29419841288,5398429.289927076,27.498996269012025,55.7473627472946
310,163862.92686852813,5398429.397894517,27.18025312744186,55.769582020343535
311,163778.17744033484,5398424.911434392,7.424011938137738,54.846286241305364
312,163779.54972537517,5398424.865673324,7.743910193679554,54.83686879412335
313,163757.36069555642,5398435.373730872,2.571346387631351,56.999385547031466
314,163755.98432609104,5398435.3682413995,2.250495997212994,56.99825583530702
315,163648.1896709351,5398400.146104246,-22.87790016519712,49.74967908161929
316,163646.9160534924,5398399.625228704,-23.174797665478124,49.64248495163318
317,163629.07611436577,5398395.122376006,-27.33352944340045,48.715815645649656
318,163627.70193909577,5398395.144332877,-27.653868337116563,48.72033428306037
319,163577.13443996152,5398355.3013605615,-39.44183824480431,40.520807897971025
320,163575.89947076913,5398354.697656805,-39.729726313742496,40.39656804850509
321,163571.98034753764,5398352.781826766,-40.64332709504056,40.0022977911207
322,163570.75330592442,5398352.163877118,-40.92936713775168,39.875126193533475
323,163517.8345472157,5398323.469252306,-53.26544754296304,33.96988570610492
324,163516.7173112492,5398322.662885253,-53.52589040010007,33.80393855054581
325,163482.5017408377,5398297.659515177,-61.502003937261726,28.658343713079432
326,163481.38018495563,5398296.858241864,-61.763453825311856,28.493444828969928
327,163504.1756456953,5398159.609369537,-56.44952274642521,0.24816882282208041
328,163504.92613325178,5398158.453514851,-56.27457391796206,0.010298492230404577
329,163635.72188796612,5397974.705901618,-25.78430947888829,-37.804234794948
330,163636.516958696,5397973.5775544,-25.598967708010562,-38.03644419721073
331,163731.11155962726,5397840.070971499,-3.5476832209764098,-65.51157181572621
332,163731.9150716727,5397838.949868662,-3.360373664950828,-65.74229035295798
333,163756.94881344048,5397803.770263833,2.4753310799478214,-72.98211412233164
334,163757.73989653905,5397802.638542257,2.659743279878697,-73.21501795408719
335,163574.9637098909,5398391.343059311,-39.947864866414115,47.938047192133126
336,163572.80411176963,5398384.1992331855,-40.45129647964637,46.46787598252476
337,163571.90242389406,5398377.301221369,-40.661492153256084,45.048292387028056
338,163572.00261143583,5398369.097356548,-40.63813707840076,43.35996939927119
339,163572.00261143583,5398369.097356548,-40.63813707840076,43.35996939927119
340,163574.83012650197,5398359.787361451,-39.97900496619861,41.44400916841789
341,163574.83012650197,5398359.787361451,-39.97900496619861,41.44400916841789
342,163577.13443996152,5398355.3013605615,-39.44183824480431,40.520807897971025
343,163577.13443996152,5398355.3013605615,-39.44183824480431,40.520807897971025
344,163582.9341854318,5398347.527679231,-38.089838912299,38.921014974055225
345,163588.45563217514,5398342.3964386135,-36.80271478767917,37.865025915363276
346,163596.2034687344,5398337.295926805,-34.99658899989413,36.815360724151276
347,163606.0552436696,5398333.240100143,-32.70000664043903,35.98068761127013
348,163616.69738698954,5398332.226143755,-30.219178690539238,35.77201939026111
