lanes_,maxspeed,oneway_,isRound_,isOpBus_,busBid_,type_,category_,id_,lat_,lon_,busRts_
0,50.0,,False,False,,footway,pedestrian,182558756,0.0,0.0,[]
0,50.0,,False,False,,footway,pedestrian,182558757,0.0,0.0,[]
0,50.0,,False,False,,footway,pedestrian,182558757,0.0,0.0,[]
0,50.0,,False,False,,footway,pedestrian,182558765,0.0,0.0,[]
0,50.0,,False,False,,footway,pedestrian,182558765,0.0,0.0,[]
0,50.0,,False,False,,footway,pedestrian,182558768,0.0,0.0,[]
0,50.0,,False,False,,footway,pedestrian,182558768,0.0,0.0,[]
0,50.0,,False,False,,footway,pedestrian,182558768,0.0,0.0,[]
0,50.0,,False,False,,footway,pedestrian,182558773,0.0,0.0,[]
0,50.0,,False,False,,footway,pedestrian,182558773,0.0,0.0,[]
0,50.0,,False,False,,footway,pedestrian,182558773,0.0,0.0,[]
0,50.0,,False,False,,service,road,182797978,0.0,0.0,[]
0,50.0,,False,False,,cycleway,cycleway,183864162,0.0,0.0,[]
0,50.0,,False,False,,cycleway,cycleway,183864162,0.0,0.0,[]
0,50.0,,False,False,,cycleway,cycleway,183864162,0.0,0.0,[]
0,50.0,,False,False,,cycleway,cycleway,183864162,0.0,0.0,[]
0,50.0,,False,False,,path,cycleway,183864163,0.0,0.0,[]
0,50.0,,False,False,,path,cycleway,183864163,0.0,0.0,[]
0,50.0,,False,False,,steps,road,183864165,0.0,0.0,[]
0,50.0,,False,False,,steps,road,183864165,0.0,0.0,[]
0,50.0,,False,False,,footway,pedestrian,183864166,0.0,0.0,[]
0,50.0,,False,False,,path,cycleway,183864169,0.0,0.0,[]
0,50.0,,False,False,,path,cycleway,183864170,0.0,0.0,[]
0,50.0,,False,False,,path,cycleway,183864171,0.0,0.0,[]
0,50.0,,False,False,,path,cycleway,183864172,0.0,0.0,[]
0,50.0,,False,False,,path,cycleway,183864172,0.0,0.0,[]
0,50.0,,False,False,,path,cycleway,183864173,0.0,0.0,[]
0,50.0,,False,False,,path,cycleway,183864173,0.0,0.0,[]
0,50.0,,False,False,,cycleway,cycleway,198325059,0.0,0.0,[]
0,50.0,,False,False,,cycleway,cycleway,198325059,0.0,0.0,[]
0,50.0,,False,False,,cycleway,cycleway,198325059,0.0,0.0,[]
0,50.0,,False,False,,cycleway,cycleway,198325059,0.0,0.0,[]
0,50.0,,False,False,,cycleway,cycleway,198325059,0.0,0.0,[]
0,50.0,,False,False,,cycleway,cycleway,198325059,0.0,0.0,[]
0,50.0,,False,False,,cycleway,cycleway,198325059,0.0,0.0,[]
2,50.0,,False,True,,busway,road,198325060,0.0,0.0,"[37, L7, 27]"
2,50.0,,False,True,,busway,road,198325060,0.0,0.0,"[37, L7, 27]"
2,50.0,,False,False,,residential,road,198326721,0.0,0.0,[]
2,50.0,,False,False,,residential,road,198326721,0.0,0.0,[]
2,50.0,,False,False,,residential,road,198326721,0.0,0.0,[]
0,50.0,,False,False,,path,cycleway,198326722,0.0,0.0,[]
0,50.0,,False,False,,path,cycleway,198326722,0.0,0.0,[]
0,50.0,,False,False,,path,cycleway,198326722,0.0,0.0,[]
0,50.0,,False,False,,footway,pedestrian,198328512,0.0,0.0,[]
0,50.0,,False,False,,footway,pedestrian,198328512,0.0,0.0,[]
0,50.0,,False,False,,footway,pedestrian,198328512,0.0,0.0,[]
0,50.0,,False,False,,path,cycleway,198328513,0.0,0.0,[]
1,30.0,yes,False,False,,tertiary,road,219983568,0.0,0.0,[]
1,30.0,yes,False,False,,tertiary,road,219983568,0.0,0.0,[]
1,30.0,yes,False,False,,tertiary,road,219983571,0.0,0.0,[]
